Header-HostRecord,fqdn,view,addresses,disabled,configure_for_dns,configure_for_dhcp,mac_address,comment
hostrecord,CMC1-IDFB1-AP01.mckesson.com,Internal-US,10.102.163.11,FALSE,TRUE,TRUE,7C:57:3C:C3:75:F0,
hostrecord,CMC1-IDFB1-AP02.mckesson.com,Internal-US,10.102.163.12,FALSE,TRUE,TRUE,7C:57:3C:C3:84:48,
hostrecord,CMC1-IDFB1-AP03.mckesson.com,Internal-US,10.102.163.13,FALSE,TRUE,TRUE,7C:57:3C:C3:74:AE,
hostrecord,CMC1-IDFB1-AP04.mckesson.com,Internal-US,10.102.163.14,FALSE,TRUE,TRUE,CC:D0:83:C8:11:10,
hostrecord,CMC1-IDFC1-AP05.mckesson.com,Internal-US,10.102.163.15,FALSE,TRUE,TRUE,CC:D0:83:C8:0D:DE,
hostrecord,CMC1-IDFC1-AP06.mckesson.com,Internal-US,10.102.163.16,FALSE,TRUE,TRUE,CC:D0:83:C8:0D:0A,
hostrecord,CMC1-IDFC1-AP07.mckesson.com,Internal-US,10.102.163.17,FALSE,TRUE,TRUE,CC:D0:83:C8:0C:6E,
hostrecord,CMC1-IDFC1-AP08.mckesson.com,Internal-US,10.102.163.18,FALSE,TRUE,TRUE,CC:D0:83:C8:0C:34,
hostrecord,CMC1-IDFC1-AP09.mckesson.com,Internal-US,10.102.163.19,FALSE,TRUE,TRUE,CC:D0:83:C8:10:06,
hostrecord,CMC1-IDFC1-AP10.mckesson.com,Internal-US,10.102.163.20,FALSE,TRUE,TRUE,CC:D0:83:C8:0D:20,
hostrecord,CMC1-IDFC1-AP11.mckesson.com,Internal-US,10.102.163.21,FALSE,TRUE,TRUE,CC:D0:83:C8:13:20,
hostrecord,CMC1-IDFC1-AP12.mckesson.com,Internal-US,10.102.163.22,FALSE,TRUE,TRUE,CC:D0:83:C8:12:A4,
hostrecord,CMC1-IDFC1-AP13.mckesson.com,Internal-US,10.102.163.23,FALSE,TRUE,TRUE,CC:D0:83:C8:0E:10,
hostrecord,CMC1-IDFC1-AP14.mckesson.com,Internal-US,10.102.163.24,FALSE,TRUE,TRUE,CC:D0:83:C8:0D:DC,
hostrecord,CMC1-IDFC1-AP15.mckesson.com,Internal-US,10.102.163.25,FALSE,TRUE,TRUE,CC:D0:83:C8:0D:8A,
hostrecord,CMC1-IDFC1-AP16.mckesson.com,Internal-US,10.102.163.26,FALSE,TRUE,TRUE,CC:D0:83:C8:0F:20,
hostrecord,CMC1-IDFB1-AP17.mckesson.com,Internal-US,10.102.163.27,FALSE,TRUE,TRUE,CC:D0:83:C8:0E:B6,
hostrecord,CMC1-IDFC1-AP18.mckesson.com,Internal-US,10.102.163.28,FALSE,TRUE,TRUE,CC:D0:83:C8:11:56,
hostrecord,CMC1-MDFA1-AP19.mckesson.com,Internal-US,10.102.163.29,FALSE,TRUE,TRUE,CC:D0:83:C8:10:2E,
hostrecord,CMC1-MDFA1-AP20.mckesson.com,Internal-US,10.102.163.30,FALSE,TRUE,TRUE,CC:D0:83:C8:0F:76,
hostrecord,CMC1-MDFA1-AP21.mckesson.com,Internal-US,10.102.163.31,FALSE,TRUE,TRUE,CC:D0:83:C8:0E:7A,
hostrecord,CMC1-MDFA1-AP22.mckesson.com,Internal-US,10.102.163.32,FALSE,TRUE,TRUE,CC:D0:83:C8:12:9A,
hostrecord,CMC1-MDFA1-AP23.mckesson.com,Internal-US,10.102.163.33,FALSE,TRUE,TRUE,7C:57:3C:C3:83:8C,
hostrecord,CMC1-MDFA1-AP24.mckesson.com,Internal-US,10.102.163.34,FALSE,TRUE,TRUE,CC:D0:83:C8:11:CA,
hostrecord,CMC1-IDFB1-AP25.mckesson.com,Internal-US,10.102.163.35,FALSE,TRUE,TRUE,CC:D0:83:C8:0D:7C,
hostrecord,CMC1-IDFB1-AP26.mckesson.com,Internal-US,10.102.163.36,FALSE,TRUE,TRUE,CC:D0:83:C8:0F:96,
hostrecord,CMC1-IDFB1-AP27.mckesson.com,Internal-US,10.102.163.37,FALSE,TRUE,TRUE,CC:D0:83:C8:0E:0A,
hostrecord,CMC1-IDFB1-AP28.mckesson.com,Internal-US,10.102.163.38,FALSE,TRUE,TRUE,CC:D0:83:C8:13:92,
hostrecord,CMC1-IDFB1-AP29.mckesson.com,Internal-US,10.102.163.39,FALSE,TRUE,TRUE,CC:D0:83:C8:12:FE,
hostrecord,CMC1-IDFB1-AP30.mckesson.com,Internal-US,10.102.163.40,FALSE,TRUE,TRUE,CC:D0:83:C8:10:A6,
hostrecord,CMC1-IDFB1-AP31.mckesson.com,Internal-US,10.102.163.41,FALSE,TRUE,TRUE,CC:D0:83:C8:13:E0,
hostrecord,CMC1-IDFB1-AP32.mckesson.com,Internal-US,10.102.163.42,FALSE,TRUE,TRUE,CC:D0:83:C8:0D:90,
hostrecord,CMC1-IDFB1-AP33.mckesson.com,Internal-US,10.102.163.43,FALSE,TRUE,TRUE,CC:D0:83:C8:0E:42,
hostrecord,CMC1-IDFB1-AP34.mckesson.com,Internal-US,10.102.163.44,FALSE,TRUE,TRUE,CC:D0:83:C8:11:20,
hostrecord,CMC1-IDFB1-AP35.mckesson.com,Internal-US,10.102.163.45,FALSE,TRUE,TRUE,CC:D0:83:C8:0F:72,
hostrecord,CMC1-IDFB1-AP36.mckesson.com,Internal-US,10.102.163.46,FALSE,TRUE,TRUE,CC:D0:83:C8:0E:40,
hostrecord,CMC1-IDFB1-AP37.mckesson.com,Internal-US,10.102.163.47,FALSE,TRUE,TRUE,CC:D0:83:C8:0D:3C,
